sentiment_numeric,word_count,num_stop_words,num_chars,num_punctuation_chars,category_gaming,category_movies,category_music,category_technology,hour,weekday,month,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
0,8,2,49,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25
0,4,0,18,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0,35,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0,33,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0,12,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0,26,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0,35,1,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0,14,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12,3,79,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,3,0,21,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
0,5,0,25,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0,46,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,4,2,17,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
0,3,2,16,1,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,15,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0,15,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0,10,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,1,44,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25
1,5,2,25,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,3,1,17,1,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0,31,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0,27,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,0,46,0,0.0,0.0,1.0,0.0,17,6,7,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0,7,0,34,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
